"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Signing Up of the automationexercise website: Signing Up","","0","0","4","0","0"
"","Adding blue products in cart at automationexercise website: Adding Blue Products.","","0","0","6","0","0"
"","Api Testing of automationexercise website: Sending Post request and validation.","","0","0","2","0","0"
"","Logging in at the automationexercise website: Logging in and deleting account","","0","0","3","0","0"
"","Api Testing of automationexercise website: Sending and verifying GET request.","","0","0","2","0","0"
"","Adding blue products in cart at automationexercise website: Deleting Account","","0","0","2","0","0"
